PinskyID	date	sex	total_length_cm	maturity	collector	lat	lon	dist	depth	bottom_temp	bottom_salin	bayenv_pop
PADE_13069L1546	10/29/13	male	31.7	not determined	Southeast Area Monitoring and Assessment Program	31.0438	-81.302	304.8584146	8	21.8	33.1	5
PADE_13070L1462	10/29/13	female	25.8	not determined	Southeast Area Monitoring and Assessment Program	30.8866	-81.316	288.2611092	10	22.3	33.3	5
PADE_13071L1547	10/30/13	male	28	not determined	Southeast Area Monitoring and Assessment Program	29.6369	-81.1922	152.8896256	10	23.8	32.7	5
PADE_13072L1463	11/7/13	not determined	31	not determined	Southeast Area Monitoring and Assessment Program	33.7743	-77.9718	648.1302403	10	19.4	35.6	4
PADE_14003L1126	4/22/14	not determined	28	not determined	Southeast Area Monitoring and Assessment Program	33.2937	-79.1299	562.9342422	9	15.9	33.9	5
PADE_14005L1548	4/23/14	not determined	24.2	not determined	Southeast Area Monitoring and Assessment Program	34.6667	-76.6197	792.1496168	8	14.8	34.5	4
PADE_14007L1147	4/23/14	not determined	24.1	not determined	Southeast Area Monitoring and Assessment Program	34.6667	-76.6197	792.1496168	8	14.8	34.5	4
PADE_14008L1464	4/23/14	not determined	23.5	not determined	Southeast Area Monitoring and Assessment Program	34.6667	-76.6197	792.1496168	8	14.8	34.5	4
PADE_14009L1549	4/23/14	male	23.5	not determined	Southeast Area Monitoring and Assessment Program	34.7631	-76.3963	811.5794514	9	16.1	34.8	4
PADE_14010L1550	4/23/14	male	28.7	not determined	Southeast Area Monitoring and Assessment Program	34.6782	-76.4697	800.0356298	9	16.3	34.1	4
PADE_14014L1465	4/23/14	not determined	27.8	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14015L1466	4/23/14	female	30.6	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14016L1551	4/23/14	male	28.7	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14017L1467	4/23/14	male	25.4	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14018L1552	4/23/14	female	30	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14019L1382	4/23/14	male	21.7	not determined	Southeast Area Monitoring and Assessment Program	34.6424	-76.5581	792.5556302	9	14.8	34.8	4
PADE_14021L1122	4/24/14	not determined	17.4	not determined	Southeast Area Monitoring and Assessment Program	35.0923	-75.9559	863.6340114	9	14.1	32.5	4
PADE_14022L1123	4/24/14	not determined	17.7	not determined	Southeast Area Monitoring and Assessment Program	35.0923	-75.9559	863.6340114	9	14.1	32.5	4
PADE_14023L1125	4/24/14	female	35.1	not determined	Southeast Area Monitoring and Assessment Program	34.932	-76.2027	836.7432652	9	14.7	33	4
PADE_14027L1468	5/3/14	not determined	35	not determined	Southeast Area Monitoring and Assessment Program	34.3062	-77.6889	712.831129	8	15.5	34.9	4
PADE_14029L1469	5/4/14	not determined	27.6	not determined	Southeast Area Monitoring and Assessment Program	34.0452	-77.8666	679.6948589	8	16.9	35.1	4
PADE_14032L1553	5/4/14	female	29.1	not determined	Southeast Area Monitoring and Assessment Program	34.0452	-77.8666	679.6948589	8	16.9	35.1	4
PADE_14034L1470	5/4/14	not determined	23.2	not determined	Southeast Area Monitoring and Assessment Program	33.7907	-77.9249	651.5110937	8	18.5	34.7	4
PADE_14035L1554	5/4/14	not determined	29.3	not determined	Southeast Area Monitoring and Assessment Program	33.7907	-77.9249	651.5110937	8	18.5	34.7	4
PADE_14036L1471	5/4/14	female	27.3	not determined	Southeast Area Monitoring and Assessment Program	33.7907	-77.9249	651.5110937	8	18.5	34.7	4
PADE_14037L1555	5/4/14	female	31	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14038L1472	5/4/14	male	25.7	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14039L1556	5/4/14	female	25.8	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14040L1557	5/4/14	not determined	25.4	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14041L1473	5/4/14	not determined	27.6	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14042L1558	5/4/14	female	29.1	not determined	Southeast Area Monitoring and Assessment Program	33.7128	-77.8958	644.6335293	9	19.5	32.7	4
PADE_14045L1474	5/4/14	female	43.1	not determined	Southeast Area Monitoring and Assessment Program	33.8567	-77.9313	658.0375182	8	17.1	35.1	4
PADE_14046L1119	5/5/14	female	24.6	not determined	Southeast Area Monitoring and Assessment Program	32.7152	-79.7798	487.5996144	8	20.4	34	5
PADE_14047L1120	5/5/14	male	23	not determined	Southeast Area Monitoring and Assessment Program	32.7152	-79.7798	487.5996144	8	20.4	34	5
PADE_14050L1559	5/5/14	male	23.7	not determined	Southeast Area Monitoring and Assessment Program	32.8316	-79.5939	503.3256696	9	20.4	34.1	5
PADE_14052L1560	5/5/14	female	22.6	not determined	Southeast Area Monitoring and Assessment Program	32.8151	-79.6734	500.1922861	8	20.3	34.2	5
PADE_14053L1561	5/5/14	not determined	24.3	not determined	Southeast Area Monitoring and Assessment Program	32.8151	-79.6734	500.1922861	8	20.3	34.2	5
PADE_14054L1475	5/5/14	not determined	25.2	not determined	Southeast Area Monitoring and Assessment Program	32.8151	-79.6734	500.1922861	8	20.3	34.2	5
PADE_14055L1562	5/5/14	female	28.5	not determined	Southeast Area Monitoring and Assessment Program	32.8151	-79.6734	500.1922861	8	20.3	34.2	5
PADE_14056L1476	5/5/14	not determined	23.8	not determined	Southeast Area Monitoring and Assessment Program	32.845	-79.5912	504.8383071	7	20.5	34	5
PADE_14057L1563	5/5/14	not determined	30	not determined	Southeast Area Monitoring and Assessment Program	32.845	-79.5912	504.8383071	7	20.5	34	5
PADE_14058L1564	5/5/14	not determined	24.4	not determined	Southeast Area Monitoring and Assessment Program	32.845	-79.5912	504.8383071	7	20.5	34	5
PADE_14060L1565	5/5/14	female	28.2	not determined	Southeast Area Monitoring and Assessment Program	32.845	-79.5912	504.8383071	7	20.5	34	5
PADE_14061L1124	5/6/14	female	28.9	not determined	Southeast Area Monitoring and Assessment Program	32.0277	-80.7588	406.0189526	9	20.3	33.9	5
PADE_14062L1477	5/6/14	not determined	27.8	not determined	Southeast Area Monitoring and Assessment Program	32.16	-80.5312	420.2343616	9	21.1	34.5	5
PADE_14066L1566	5/7/14	not determined	31.6	not determined	Southeast Area Monitoring and Assessment Program	32.6071	-79.9458	473.5158756	7	20.9	34.3	5
PADE_14067L1567	5/7/14	not determined	23.5	not determined	Southeast Area Monitoring and Assessment Program	32.6071	-79.9458	473.5158756	7	20.9	34.3	5
PADE_14069L1149	5/7/14	not determined	26.4	not determined	Southeast Area Monitoring and Assessment Program	32.5719	-80.0683	468.3328407	6	20.9	34.2	5
PADE_14070L1568	5/7/14	not determined	27.1	not determined	Southeast Area Monitoring and Assessment Program	32.5719	-80.0683	468.3328407	6	20.9	34.2	5
PADE_14073L1127	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14074L1150	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14075L1128	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14076L1129	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14077L1151	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14078L1152	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14079L1153	6/28/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14081L1130	7/17/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.658883	-76.80695	783.1995271	15.24	23.14	34.5	4
PADE_14082L1131	7/18/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14083L1132	7/18/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14084L1133	7/18/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14085L1134	7/25/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14086L1135	7/25/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14087L1136	7/30/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.658883	-76.80695	783.1995271	15.24	23.14	34.5	4
PADE_14088L1137	7/30/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.658883	-76.80695	783.1995271	15.24	23.14	34.5	4
PADE_14091L1478	8/12/14	female	38.7	not determined	North Carolina Department of Natural Resources	34.556383	-76.439167	789.7443198	19.812	16.3	34.1	4
PADE_14092L1569	8/14/14	female	38.8	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14093L1570	8/14/14	female	39.7	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14095L1157	8/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14096L1158	8/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14097L1138	8/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14098L1383	8/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14099L1384	8/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14100L1385	8/18/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14101L1386	9/14/14	not determined	not determined	not determined	North Carolina Department of Natural Resources	34.672217	-76.74445	787.2048746	14.9352	23.14	34.5	4
PADE_14102L1479	9/12/14	male	35.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	36.77767	-74.9703	1070.172572	31.32	17.23	34.17	3
PADE_14103L1571	9/16/14	female	51	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	36.41133	-75.4177	1014.793324	25.47	23.03	33.883	3
PADE_14104L1480	9/18/14	male	38	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14105L1387	9/18/14	male	36	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14106L1388	9/18/14	male	41	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14107L1481	9/18/14	male	41.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14108L1389	9/18/14	male	39.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14109L1482	9/18/14	female	42.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14110L1572	9/18/14	male	39	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14111L1573	9/18/14	male	37	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.69167	-74.534	1274.969682	33.05	20.94	32.251	3
PADE_14112L1390	9/18/14	female	36.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.48767	-74.7217	1247.285003	34.72	22.57	32.393	3
PADE_14113L1574	9/18/14	male	41	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.48767	-74.7217	1247.285003	34.72	22.57	32.393	3
PADE_14114L1483	9/18/14	female	44.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.48767	-74.7217	1247.285003	34.72	22.57	32.393	3
PADE_14115L1484	9/18/14	male	36	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.48767	-74.7217	1247.285003	34.72	22.57	32.393	3
PADE_14116L1391	9/18/14	male	37.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	38.48767	-74.7217	1247.285003	34.72	22.57	32.393	3
PADE_14117L1485	9/24/14	male	51	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14118L1486	9/24/14	male	47	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14119L1392	9/24/14	male	42	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14120L1393	9/24/14	male	50	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14121L1487	9/24/14	female	45	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14122L1488	9/24/14	female	71	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14123L1489	9/24/14	female	54	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14124L1490	9/24/14	female	53	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14126L1575	9/24/14	female	55	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14127L1576	9/24/14	male	41	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14128L1577	9/24/14	male	43	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	41.10217	-71.0783	1657.130195	35.99	15.95	33.249	2
PADE_14129L1491	9/24/14	male	55.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.94817	-71.055	1644.107529	50.55	14.26	33.621	2
PADE_14130L1492	9/24/14	male	44.5	Spent	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.94817	-71.055	1644.107529	50.55	14.26	33.621	2
PADE_14131L1394	9/24/14	female	58	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.94817	-71.055	1644.107529	50.55	14.26	33.621	2
PADE_14132L1395	9/24/14	female	58.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.94817	-71.055	1644.107529	50.55	14.26	33.621	2
PADE_14133L1396	9/24/14	male	43	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72533	-71.4008	1607.185293	60.5	13.43	34.231	2
PADE_14134L1578	9/24/14	female	58	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72533	-71.4008	1607.185293	60.5	13.43	34.231	2
PADE_14135L1493	9/24/14	male	41	Ripe & Running	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.66233	-72.1002	1569.085149	51.06	13.85	33.38	2
PADE_14136L1397	9/24/14	male	43	Ripe & Running	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.66233	-72.1002	1569.085149	51.06	13.85	33.38	2
PADE_14138L1579	9/24/14	male	49	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.66233	-72.1002	1569.085149	51.06	13.85	33.38	2
PADE_14139L1398	9/24/14	male	51	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.66233	-72.1002	1569.085149	51.06	13.85	33.38	2
PADE_14140L1399	9/25/14	male	39	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72833	-72.4473	1560.084752	34.17	17.94	33.346	2
PADE_14141L1400	9/25/14	female	46.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72833	-72.4473	1560.084752	34.17	17.94	33.346	2
PADE_14142L1494	9/25/14	female	56	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72833	-72.4473	1560.084752	34.17	17.94	33.346	2
PADE_14143L1495	9/25/14	male	53	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72833	-72.4473	1560.084752	34.17	17.94	33.346	2
PADE_14144L1401	9/25/14	female	55	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.72833	-72.4473	1560.084752	34.17	17.94	33.346	2
PADE_14145L1402	9/25/14	male	46	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.63533	-72.5402	1547.178318	36.16	15.44	33.188	2
PADE_14146L1496	9/25/14	female	51	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.63533	-72.5402	1547.178318	36.16	15.44	33.188	2
PADE_14147L1403	9/25/14	male	39.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.63533	-72.5402	1547.178318	36.16	15.44	33.188	2
PADE_14148L1404	9/25/14	male	41.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14149L1497	9/25/14	female	52	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14150L1405	9/25/14	male	44	Ripe & Running	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14151L1406	9/25/14	male	38	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14153L1407	9/25/14	male	42.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14154L1408	9/25/14	male	40	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14155L1409	9/25/14	male	36	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14156L1498	9/25/14	male	40.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14157L1499	9/25/14	female	56	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.62433	-72.788	1535.566719	33.5	20.31	33.266	2
PADE_14158L1500	9/25/14	male	40	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14159L1501	9/25/14	male	42	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14160L1410	9/25/14	female	42.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14161L1502	9/25/14	female	43.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14162L1503	9/25/14	male	41	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14163L1580	9/25/14	male	38.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14164L1504	9/25/14	male	36	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14165L1411	9/25/14	male	36.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.56067	-72.9267	1523.60129	33.87	18.62	33.32	2
PADE_14166L1505	9/26/14	female	59	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14167L1581	9/26/14	female	52	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14168L1506	9/26/14	male	42	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14169L1507	9/26/14	male	46	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14170L1412	9/26/14	male	45	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14171L1508	9/26/14	male	41	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.22533	-73.0972	1484.002246	45.31	12.75	32.911	2
PADE_14173L1509	9/26/14	female	37	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.1025	-73.6277	1450.250809	43.5	15.37	32.684	3
PADE_14174L1582	9/26/14	female	43.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.1025	-73.6277	1450.250809	43.5	15.37	32.684	3
PADE_14175L1510	9/26/14	male	44.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.1125	-73.6667	1449.677078	39.45	17.07	32.407	3
PADE_14176L1511	9/26/14	female	52	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.1125	-73.6667	1449.677078	39.45	17.07	32.407	3
PADE_14177L1413	9/26/14	male	40.5	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	40.1125	-73.6667	1449.677078	39.45	17.07	32.407	3
PADE_14178L1414	9/27/14	female	55	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14179L1415	9/27/14	female	41	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14180L1416	9/27/14	male	35.5	Resting	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14181L1417	9/27/14	female	43.5	Ripe	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14182L1418	9/27/14	male	40	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14183L1419	9/27/14	male	39	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.3975	-73.9052	1369.883584	29.92	20.05	32.075	3
PADE_14184L1420	9/27/14	male	41	Developing	Northeast Fisheries Science Center Fall Bottom Trawl Survey	39.2875	-73.8893	1359.795931	34.19	20.01	32.333	3
