PinskyID	date	sex	total_length_cm	maturity	collector	lat	lon	dist	depth	bottom_temp	bottom_salin	bayenv_pop
PADE_13030L1362	10/1/13	female	33.2	not determined	Southeast Area Monitoring and Assessment Program	34.6892	-76.7953	786.6810514	7	23.4	35.9	4
PADE_13044L1376	10/4/13	female	29.7	not determined	Southeast Area Monitoring and Assessment Program	33.4856	-79.0688	585.0373075	7	23.8	34.9	5
PADE_13045L1543	10/11/13	male	27.9	not determined	Southeast Area Monitoring and Assessment Program	32.3294	-80.3267	439.5953503	10	24	34.1	5
PADE_13047L1378	10/11/13	male	26.5	not determined	Southeast Area Monitoring and Assessment Program	32.2786	-80.4531	433.5267642	9	23.8	33.4	5
PADE_13048L1544	10/16/13	not determined	35	not determined	Southeast Area Monitoring and Assessment Program	28.956917	-80.835033	69.6324638	10	26.5	34.1	5
PADE_13049L1447	10/17/13	female	31.9	not determined	Southeast Area Monitoring and Assessment Program	29.6077	-81.1799	149.4381197	9	25.5	33	5
PADE_13050L1448	10/22/13	female	30.7	not determined	Southeast Area Monitoring and Assessment Program	33.8077	-78.6223	630.8561238	9	21.7	34.8	5
PADE_13051L1449	10/22/13	female	25.3	not determined	Southeast Area Monitoring and Assessment Program	33.8077	-78.6223	630.8561238	9	21.7	34.8	5
PADE_13052L1450	10/22/13	female	30.8	not determined	Southeast Area Monitoring and Assessment Program	33.7266	-78.7616	618.4664581	9	21.7	35	5
PADE_13053L1379	10/22/13	male	30.6	not determined	Southeast Area Monitoring and Assessment Program	33.532	-78.9994	591.6593014	8	21.5	34.9	5
PADE_13054L1451	10/22/13	female	28.5	not determined	Southeast Area Monitoring and Assessment Program	33.8321	-78.5809	634.6001333	7	21.3	34.8	5
PADE_13055L1545	10/23/13	female	34.6	not determined	Southeast Area Monitoring and Assessment Program	34.2593	-77.7393	706.211898	10	21.4	35.3	4
PADE_13056L1452	10/23/13	male	33.1	not determined	Southeast Area Monitoring and Assessment Program	34.2593	-77.7393	706.211898	10	21.4	35.3	4
PADE_13057L1453	10/23/13	not determined	34.1	not determined	Southeast Area Monitoring and Assessment Program	34.0921	-77.8549	684.9274976	9	21.7	35.5	4
PADE_13058L1454	10/23/13	female	34	not determined	Southeast Area Monitoring and Assessment Program	34.1836	-77.7879	696.7084242	9	21.5	35.4	4
PADE_13059L1455	10/23/13	female	40	not determined	Southeast Area Monitoring and Assessment Program	33.9694	-77.9059	670.5108838	9	21.5	35.4	4
PADE_13060L1456	10/23/13	male	30	not determined	Southeast Area Monitoring and Assessment Program	33.8569	-77.9309	658.0724339	8	21.5	35.6	4
PADE_13061L1457	10/23/13	male	27.7	not determined	Southeast Area Monitoring and Assessment Program	33.0783	-79.2642	536.6504371	7	21.1	34.6	5
PADE_13063L1458	10/23/13	female	28.5	not determined	Southeast Area Monitoring and Assessment Program	33.0783	-79.2642	536.6504371	7	21.1	34.6	5
PADE_13064L1459	10/23/13	female	26.9	not determined	Southeast Area Monitoring and Assessment Program	33.0783	-79.2642	536.6504371	7	21.1	34.6	5
PADE_13065L1460	10/24/13	female	34.6	not determined	Southeast Area Monitoring and Assessment Program	32.7864	-79.6919	496.7498216	7	21.3	34.6	5
PADE_13067L1381	10/28/13	male	29.2	not determined	Southeast Area Monitoring and Assessment Program	32.6897	-79.8168	484.2704966	8	20.8	34.8	5
PADE_13068L1461	10/28/13	male	27.2	not determined	Southeast Area Monitoring and Assessment Program	32.625	-79.8978	476.072124	9	19.9	34	5
