"PinskyID","grid_x","grid_y"
"PADE_14180L1416",97,2163
"PADE_14181L1417",99,2163
"PADE_14182L1418",100,2163
"PADE_14183L1419",101,2163
"PADE_14190L1423",102,2188
"PADE_14191L1514",98,2188
"PADE_14192L1583",100,2188
"PADE_14193L1424",101,2188
"PADE_14194L1425",99,2188
"PADE_14173L1509",102,2197
"PADE_14174L1582",98,2197
"PADE_14175L1510",100,2197
"PADE_14176L1511",99,2197
"PADE_14177L1413",101,2197
"PADE_14195L1515",100,2199
"PADE_14196L1426",101,2199
"PADE_14197L1584",99,2199
"PADE_14198L1516",98,2199
"PADE_14199L1427",102,2199
"PADE_14166L1505",100,2212
"PADE_14167L1581",101,2212
"PADE_14168L1506",97,2212
"PADE_14169L1507",99,2212
"PADE_14170L1412",98,2212
"PADE_14171L1508",102,2212
"PADE_14158L1500",97,2229
"PADE_14159L1501",104,2229
"PADE_14160L1410",98,2229
"PADE_14161L1502",101,2229
"PADE_14162L1503",102,2229
"PADE_14163L1580",100,2229
"PADE_14164L1504",99,2229
"PADE_14165L1411",96,2229
"PADE_14148L1404",98,2234
"PADE_14149L1497",103,2234
"PADE_14150L1405",99,2234
"PADE_14151L1406",101,2234
"PADE_14153L1407",96,2234
"PADE_14154L1408",104,2234
"PADE_14155L1409",100,2234
"PADE_14156L1498",97,2234
"PADE_14157L1499",102,2234
"PADE_14145L1402",99,2239
"PADE_14146L1496",100,2239
"PADE_14147L1403",101,2239
"PADE_14140L1399",99,2245
"PADE_14141L1400",101,2245
"PADE_14142L1494",98,2245
"PADE_14143L1495",100,2245
"PADE_14144L1401",102,2245
"PADE_14135L1493",100,2249
"PADE_14136L1397",102,2249
"PADE_14138L1579",101,2249
"PADE_14139L1398",99,2249
"PADE_14133L1396",99,2265
"PADE_14134L1578",100,2265
"PADE_14200L1517",101,2273
"PADE_14201L1518",99,2273
"PADE_14227L1437",100,2276
"PADE_14129L1491",101,2281
"PADE_14130L1492",98,2281
"PADE_14131L1394",102,2281
"PADE_14132L1395",99,2281
"PADE_14117L1485",101,2287
"PADE_14118L1486",104,2287
"PADE_14119L1392",99,2287
"PADE_14120L1393",95,2287
"PADE_14121L1487",96,2287
"PADE_14122L1488",102,2287
"PADE_14123L1489",105,2287
"PADE_14124L1490",93,2287
"PADE_14126L1575",100,2287
"PADE_14127L1576",106,2287
"PADE_14128L1577",94,2287
"PADE_14224L1436",103,2287
"PADE_14225L1587",97,2287
"PADE_14226L1527",107,2287
"PADE_14213L1586",100,2293
"PADE_14223L1526",100,2295
"PADE_14206L1519",98,2296
"PADE_14207L1585",102,2296
"PADE_14208L1520",101,2296
"PADE_14209L1521",99,2296
"PADE_14210L1522",100,2296
"PADE_14211L1428",101,2298
"PADE_14212L1523",100,2298
"PADE_14218L1524",102,2301
"PADE_14219L1525",98,2301
"PADE_14220L1433",99,2301
"PADE_14221L1434",101,2301
"PADE_14222L1435",100,2301
"PADE_14214L1429",98,2303
"PADE_14215L1430",99,2303
"PADE_14216L1431",100,2303
"PADE_14217L1432",101,2303
"PADE_14240L1534",99,2318
"PADE_14241L1443",100,2318
"PADE_14242L1535",98,2322
"PADE_14243L1589",100,2322
"PADE_14244L1536",99,2322
"PADE_14245L1444",101,2322
"PADE_14246L1537",99,2329
"PADE_14247L1538",101,2329
"PADE_14248L1590",100,2329
"PADE_14239L1533",100,2336
"PADE_14228L1438",99,2343
"PADE_14229L1528",101,2343
"PADE_14249L1539",99,2351
"PADE_14250L1445",101,2351
"PADE_14251L1540",101,2372
"PADE_14252L1541",99,2372
"PADE_14253L1446",100,2372
"PADE_14254L1542",100,2400
