"PinskyID","grid_x","grid_y"
"PADE_13048L1544",100,1600
"PADE_13049L1447",100,1635
"PADE_13071L1547",100,1636
"PADE_13070L1462",100,1695
"PADE_13069L1546",100,1702
"PADE_14061L1124",100,1746
"PADE_14062L1477",100,1752
"PADE_13047L1378",100,1757
"PADE_13045L1543",100,1760
"PADE_14069L1149",101,1773
"PADE_14070L1568",100,1773
"PADE_14066L1566",101,1775
"PADE_14067L1567",99,1775
"PADE_13068L1461",100,1776
"PADE_13067L1381",100,1779
"PADE_14046L1119",100,1781
"PADE_14047L1120",101,1781
"PADE_13065L1460",100,1785
"PADE_14052L1560",100,1786
"PADE_14053L1561",99,1786
"PADE_14054L1475",102,1786
"PADE_14055L1562",101,1786
"PADE_14050L1559",99,1788
"PADE_14056L1476",102,1788
"PADE_14057L1563",100,1788
"PADE_14058L1564",98,1788
"PADE_14060L1565",101,1788
"PADE_13061L1457",100,1802
"PADE_13063L1458",99,1802
"PADE_13064L1459",101,1802
"PADE_14003L1126",100,1813
"PADE_13044L1376",100,1823
"PADE_13053L1379",100,1826
"PADE_13052L1450",100,1838
"PADE_13050L1448",99,1843
"PADE_13051L1449",101,1843
"PADE_13054L1451",100,1844
"PADE_14037L1555",99,1849
"PADE_14038L1472",98,1849
"PADE_14039L1556",101,1849
"PADE_14040L1557",103,1849
"PADE_14041L1473",102,1849
"PADE_14042L1558",100,1849
"PADE_13072L1463",100,1850
"PADE_14034L1470",101,1852
"PADE_14035L1554",100,1852
"PADE_14036L1471",99,1852
"PADE_13060L1456",100,1855
"PADE_14045L1474",101,1855
"PADE_13059L1455",100,1860
"PADE_14029L1469",100,1864
"PADE_14032L1553",99,1864
"PADE_13057L1453",100,1866
"PADE_13058L1454",100,1871
"PADE_13055L1545",99,1875
"PADE_13056L1452",101,1875
"PADE_14027L1468",100,1878
"PADE_14081L1130",99,1909
"PADE_14087L1136",100,1909
"PADE_14088L1137",101,1909
"PADE_13030L1362",100,1910
"PADE_14073L1127",90,1911
"PADE_14074L1150",101,1911
"PADE_14075L1128",96,1911
"PADE_14076L1129",92,1911
"PADE_14077L1151",95,1911
"PADE_14078L1152",105,1911
"PADE_14079L1153",97,1911
"PADE_14082L1131",94,1911
"PADE_14083L1132",110,1911
"PADE_14084L1133",93,1911
"PADE_14085L1134",109,1911
"PADE_14086L1135",103,1911
"PADE_14092L1569",99,1911
"PADE_14093L1570",91,1911
"PADE_14095L1157",100,1911
"PADE_14096L1158",106,1911
"PADE_14097L1138",98,1911
"PADE_14098L1383",102,1911
"PADE_14099L1384",107,1911
"PADE_14100L1385",108,1911
"PADE_14101L1386",104,1911
"PADE_14091L1478",100,1912
"PADE_14005L1548",98,1913
"PADE_14007L1147",96,1913
"PADE_14008L1464",103,1913
"PADE_14014L1465",104,1913
"PADE_14015L1466",99,1913
"PADE_14016L1551",101,1913
"PADE_14017L1467",102,1913
"PADE_14018L1552",100,1913
"PADE_14019L1382",97,1913
"PADE_14010L1550",100,1916
"PADE_14009L1549",100,1921
"PADE_14023L1125",100,1932
"PADE_14021L1122",99,1944
"PADE_14022L1123",101,1944
"PADE_14103L1571",100,2009
"PADE_14102L1479",100,2033
"PADE_14112L1390",101,2110
"PADE_14113L1574",100,2110
"PADE_14114L1483",99,2110
"PADE_14115L1484",102,2110
"PADE_14116L1391",98,2110
"PADE_14104L1480",103,2122
"PADE_14105L1387",100,2122
"PADE_14106L1388",104,2122
"PADE_14107L1481",99,2122
"PADE_14108L1389",96,2122
"PADE_14109L1482",98,2122
"PADE_14110L1572",97,2122
"PADE_14111L1573",102,2122
"PADE_14188L1422",100,2139
"PADE_14184L1420",102,2158
"PADE_14185L1512",98,2158
"PADE_14186L1421",100,2158
"PADE_14187L1513",101,2158
"PADE_14178L1414",103,2163
"PADE_14179L1415",98,2163
