"PinskyID","grid_x","grid_y"
"PADE_13048L1544",100,400
"PADE_13049L1447",100,538
"PADE_13071L1547",100,544
"PADE_13070L1462",100,778
"PADE_13069L1546",100,807
"PADE_14061L1124",100,982
"PADE_14062L1477",100,1007
"PADE_13047L1378",100,1030
"PADE_13045L1543",100,1040
"PADE_14069L1149",99,1090
"PADE_14070L1568",100,1090
"PADE_14066L1566",99,1099
"PADE_14067L1567",100,1099
"PADE_13068L1461",100,1104
"PADE_13067L1381",100,1118
"PADE_14046L1119",101,1124
"PADE_14047L1120",99,1124
"PADE_13065L1460",100,1139
"PADE_14052L1560",101,1145
"PADE_14053L1561",98,1145
"PADE_14054L1475",100,1145
"PADE_14055L1562",99,1145
"PADE_14050L1559",100,1151
"PADE_14056L1476",98,1153
"PADE_14057L1563",102,1153
"PADE_14058L1564",101,1153
"PADE_14060L1565",99,1153
"PADE_13061L1457",100,1208
"PADE_13063L1458",99,1208
"PADE_13064L1459",101,1208
"PADE_14003L1126",100,1254
"PADE_13044L1376",100,1292
"PADE_13053L1379",100,1304
"PADE_13052L1450",100,1350
"PADE_13050L1448",100,1371
"PADE_13051L1449",101,1371
"PADE_13054L1451",100,1378
"PADE_14037L1555",98,1395
"PADE_14038L1472",102,1395
"PADE_14039L1556",97,1395
"PADE_14040L1557",100,1395
"PADE_14041L1473",103,1395
"PADE_14042L1558",99,1395
"PADE_13072L1463",100,1401
"PADE_14034L1470",101,1407
"PADE_14035L1554",100,1407
"PADE_14036L1471",99,1407
"PADE_13060L1456",100,1419
"PADE_14045L1474",99,1419
"PADE_13059L1455",100,1440
"PADE_14029L1469",100,1456
"PADE_14032L1553",99,1456
"PADE_13057L1453",100,1465
"PADE_13058L1454",100,1485
"PADE_13055L1545",100,1502
"PADE_13056L1452",99,1502
"PADE_14027L1468",100,1513
"PADE_14081L1130",99,1635
"PADE_14087L1136",100,1635
"PADE_14088L1137",101,1635
"PADE_13030L1362",100,1641
"PADE_14073L1127",105,1642
"PADE_14074L1150",96,1642
"PADE_14075L1128",93,1642
"PADE_14076L1129",103,1642
"PADE_14077L1151",100,1642
"PADE_14078L1152",90,1642
"PADE_14079L1153",98,1642
"PADE_14082L1131",108,1642
"PADE_14083L1132",104,1642
"PADE_14084L1133",92,1642
"PADE_14085L1134",94,1642
"PADE_14086L1135",97,1642
"PADE_14092L1569",95,1642
"PADE_14093L1570",110,1642
"PADE_14095L1157",106,1642
"PADE_14096L1158",107,1642
"PADE_14097L1138",99,1642
"PADE_14098L1383",91,1642
"PADE_14099L1384",102,1642
"PADE_14100L1385",101,1642
"PADE_14101L1386",109,1642
"PADE_14091L1478",100,1647
"PADE_14005L1548",104,1651
"PADE_14007L1147",96,1651
"PADE_14008L1464",103,1651
"PADE_14014L1465",100,1651
"PADE_14015L1466",97,1651
"PADE_14016L1551",102,1651
"PADE_14017L1467",98,1651
"PADE_14018L1552",101,1651
"PADE_14019L1382",99,1651
"PADE_14010L1550",100,1664
"PADE_14009L1549",100,1684
"PADE_14023L1125",100,1728
"PADE_14021L1122",99,1774
"PADE_14022L1123",101,1774
"PADE_14103L1571",100,2036
"PADE_14102L1479",100,2132
"PADE_14112L1390",100,2439
"PADE_14113L1574",101,2439
"PADE_14114L1483",98,2439
"PADE_14115L1484",102,2439
"PADE_14116L1391",99,2439
"PADE_14104L1480",100,2486
"PADE_14105L1387",97,2486
"PADE_14106L1388",99,2486
"PADE_14107L1481",96,2486
"PADE_14108L1389",102,2486
"PADE_14109L1482",103,2486
"PADE_14110L1572",98,2486
"PADE_14111L1573",104,2486
"PADE_14188L1422",100,2556
"PADE_14184L1420",101,2633
"PADE_14185L1512",102,2633
"PADE_14186L1421",99,2633
"PADE_14187L1513",98,2633
"PADE_14178L1414",98,2651
"PADE_14179L1415",99,2651
"PADE_14180L1416",100,2651
"PADE_14181L1417",103,2651
"PADE_14182L1418",97,2651
"PADE_14183L1419",102,2651
"PADE_14190L1423",98,2754
"PADE_14191L1514",100,2754
"PADE_14192L1583",102,2754
"PADE_14193L1424",101,2754
"PADE_14194L1425",99,2754
"PADE_14175L1510",100,2789
"PADE_14176L1511",99,2789
"PADE_14177L1413",101,2789
"PADE_14173L1509",100,2790
"PADE_14174L1582",101,2790
"PADE_14197L1584",101,2795
"PADE_14198L1516",99,2795
"PADE_14199L1427",100,2795
"PADE_14195L1515",99,2797
"PADE_14196L1426",101,2797
"PADE_14166L1505",98,2848
"PADE_14167L1581",97,2848
"PADE_14168L1506",99,2848
"PADE_14169L1507",101,2848
"PADE_14170L1412",100,2848
"PADE_14171L1508",102,2848
"PADE_14158L1500",98,2917
"PADE_14159L1501",103,2917
"PADE_14160L1410",99,2917
"PADE_14161L1502",102,2917
"PADE_14162L1503",97,2917
"PADE_14163L1580",96,2917
"PADE_14164L1504",104,2917
"PADE_14165L1411",100,2917
"PADE_14148L1404",96,2938
"PADE_14149L1497",97,2938
"PADE_14150L1405",101,2938
"PADE_14151L1406",98,2938
"PADE_14153L1407",99,2938
"PADE_14154L1408",104,2938
"PADE_14155L1409",103,2938
"PADE_14156L1498",102,2938
"PADE_14157L1499",100,2938
"PADE_14145L1402",100,2958
"PADE_14146L1496",99,2958
"PADE_14147L1403",101,2958
"PADE_14140L1399",98,2980
"PADE_14141L1400",102,2980
"PADE_14142L1494",100,2980
"PADE_14143L1495",99,2980
"PADE_14144L1401",101,2980
"PADE_14135L1493",99,2996
"PADE_14136L1397",101,2996
"PADE_14138L1579",102,2996
"PADE_14139L1398",100,2996
"PADE_14133L1396",100,3061
"PADE_14134L1578",101,3061
"PADE_14200L1517",100,3090
"PADE_14201L1518",99,3090
"PADE_14227L1437",100,3104
"PADE_14129L1491",99,3125
"PADE_14130L1492",101,3125
"PADE_14131L1394",102,3125
"PADE_14132L1395",98,3125
"PADE_14224L1436",100,3147
"PADE_14225L1587",101,3147
"PADE_14226L1527",99,3147
"PADE_14117L1485",96,3148
"PADE_14118L1486",95,3148
"PADE_14119L1392",102,3148
"PADE_14120L1393",103,3148
"PADE_14121L1487",98,3148
"PADE_14122L1488",104,3148
"PADE_14123L1489",101,3148
"PADE_14124L1490",99,3148
"PADE_14126L1575",105,3148
"PADE_14127L1576",100,3148
"PADE_14128L1577",97,3148
"PADE_14213L1586",100,3171
"PADE_14223L1526",100,3179
"PADE_14206L1519",100,3184
"PADE_14207L1585",101,3184
"PADE_14208L1520",98,3184
"PADE_14209L1521",99,3184
"PADE_14210L1522",102,3184
"PADE_14211L1428",100,3191
"PADE_14212L1523",101,3191
"PADE_14219L1525",98,3203
"PADE_14220L1433",101,3203
"PADE_14221L1434",100,3203
"PADE_14222L1435",99,3203
"PADE_14218L1524",100,3205
"PADE_14214L1429",99,3214
"PADE_14215L1430",101,3214
"PADE_14216L1431",100,3214
"PADE_14217L1432",98,3214
"PADE_14240L1534",99,3273
"PADE_14241L1443",100,3273
"PADE_14242L1535",102,3287
"PADE_14243L1589",101,3287
"PADE_14244L1536",99,3287
"PADE_14245L1444",100,3287
"PADE_14246L1537",101,3316
"PADE_14247L1538",99,3316
"PADE_14248L1590",100,3316
"PADE_14239L1533",100,3342
"PADE_14228L1438",101,3370
"PADE_14229L1528",99,3370
"PADE_14249L1539",101,3403
"PADE_14250L1445",100,3403
"PADE_14251L1540",100,3486
"PADE_14252L1541",99,3486
"PADE_14253L1446",101,3486
"PADE_14254L1542",100,3600
